binary,function,blocks,edges,cyclomatic_complexity,llm_vuln_found,llm_obfuscation_detected,llm_techniques,vuln_category,binary_level,timestamp
target_easy_L1L2L3,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 junk로 삽입);nop (junk instruction, 0x4012be)",easy,L1L2L3,2026-05-29 15:07:39
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"endbr64 (CET 관련 인스트럭션, 경미한 분석 방해);nop (junk instruction, 실행 흐름 패딩)",easy,L1L2L3L4,2026-05-29 15:07:50
target_easy_none,vuln,3,2,1,true,true,"endbr64 (CET 관련이나 잠재적 junk/padding 역할);nop (junk instruction, 0x004012be)",easy,none,2026-05-29 15:08:02
target_hard_L1,process_input,8,8,2,true,true,"endbr64 (CET 관련이나 난독화 패딩 용도로 혼용 가능);간접 함수 호출을 통한 실제 함수명 은닉 (심볼 없이 주소로만 호출);불필요하게 큰 스택 프레임 할당 (sub rsp, 0x60 — 실제 사용보다 과도한 공간)",hard,L1,2026-05-29 15:08:15
target_hard_L1L2,process_input,8,8,2,true,true,"endbr64 (CET/IBT 마커, 간접 분기 보호 또는 잡음 삽입);간접 함수 호출을 통한 실제 함수 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 외부 함수로 로직 분산)",hard,L1L2,2026-05-29 15:08:29
target_hard_L1L2L3,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령, 일부 환경에서 간접 분기 난독화 목적으로 삽입);불필요한 중간 레지스터 경유 (rax를 거치는 간접 호출 준비 패턴);상수 문자열을 RIP 상대 주소로 참조하여 정적 분석 어려움 유발",hard,L1L2L3,2026-05-29 15:08:41
target_hard_L1L2L3L4,process_input,8,8,2,true,true,"endbr64 (CET 관련 인스트럭션, 분석 방해 가능);간접 함수 호출을 통한 실제 기능 은닉 (문자열 출력, 복사, 처리 함수가 별도 주소로 분리)",hard,L1L2L3L4,2026-05-29 15:08:52
target_hard_none,process_input,8,8,2,true,true,endbr64 (CET/IBT 관련 명령어로 분석 도구 혼란 유발 가능);불필요한 중간 레지스터 경유(mov rax -> mov rdi 등 간접 참조 증가로 흐름 추적 난이도 상승);고정 오프셋 RIP-relative 문자열 참조(string encryption 또는 난독화된 포맷 스트링 가능성),hard,none,2026-05-29 15:09:09
target_easy_L1,vuln,3,2,1,true,true,"endbr64 (CET 관련 인스트럭션, 일부 난독화 도구에서 junk로 삽입);nop (0x4012be, 불필요한 nop 삽입으로 분석 방해)",easy,L1,2026-05-29 15:09:20
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET 인스트럭션, 경미한 분석 방해);nop (junk instruction, 함수 말미 불필요한 NOP 삽입)",easy,L1L2,2026-05-29 15:09:30
target_easy_L1L2L3,vuln,3,2,1,true,true,"endbr64 (CET 관련 인스트럭션, 일부 난독화 도구가 삽입);nop (junk instruction, 0x4012be)",easy,L1L2L3,2026-05-29 15:09:41
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"endbr64 (CET 지시어, 간접 분기 보호 또는 junk instruction으로 활용);nop (junk instruction, 코드 분석 방해용 삽입 가능성)",easy,L1L2L3L4,2026-05-29 15:09:53
target_easy_none,vuln,3,2,1,true,true,endbr64 (CET 힌트 또는 junk-like 패딩);nop 삽입 (0x4012be),easy,none,2026-05-29 15:10:07
target_hard_L1,process_input,8,8,2,true,false,,hard,L1,2026-05-29 15:10:17
target_hard_L1L2,process_input,8,8,2,true,true,"endbr64 (CET 관련 간접 분기 보호 / 잠재적 junk instruction 혼용);불필요한 중간 레지스터 경유 (rax -> rdi, eax -> esi 등 간접 이동)",hard,L1L2,2026-05-29 15:10:30
target_hard_L1L2L3,process_input,8,8,2,true,true,"endbr64 (CET 힌트 바이트, 일부 난독화 도구가 삽입);불필요한 중간 레지스터 경유 (rax를 통한 우회 mov 패턴);간접 문자열 참조 (RIP 상대 주소로 문자열 참조)",hard,L1L2L3,2026-05-29 15:10:41
target_hard_L1L2L3L4,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어로 분석 방해 가능);간접 함수 호출을 통한 실제 함수 목적 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0);RIP 상대 주소를 이용한 문자열 참조 (string encryption 가능성)",hard,L1L2L3L4,2026-05-29 15:10:55
target_hard_none,process_input,8,8,2,true,true,"endbr64 (CET/IBT 관련 명령, 간접 분기 추적);불필요하게 큰 스택 프레임 할당 (sub rsp, 0x60 대비 실제 사용량);간접 함수 호출을 통한 실제 함수 은닉 (직접적인 함수 이름 없음)",hard,none,2026-05-29 15:11:08
target_easy_L1,vuln,3,2,1,true,true,"endbr64 (CET 관련 인스트럭션, 경미한 분석 방해);nop (junk instruction, 0x4012be)",easy,L1,2026-05-29 15:11:19
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET/IBT 관련 명령어, 일부 난독화 도구에서 junk로 삽입);nop (0x004012be, 불필요한 nop 삽입으로 분석 방해)",easy,L1L2,2026-05-29 15:11:29
target_easy_L1L2L3,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 junk로 삽입);nop (0x4012be, 함수 종료 직전 불필요한 nop 삽입)",easy,L1L2L3,2026-05-29 15:11:40
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"junk instruction (endbr64 단독 사용, nop 삽입)",easy,L1L2L3L4,2026-05-29 15:11:51
target_easy_none,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 junk로 삽입);nop (불필요한 nop 삽입으로 분석 방해)",easy,none,2026-05-29 15:12:01
target_hard_L1,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 junk로 삽입);간접 함수 호출을 통한 실제 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 외부 함수로 로직 분산)",hard,L1,2026-05-29 15:12:14
target_hard_L1L2,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어로 분석 혼란 유발 가능);간접 함수 호출을 통한 실제 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 실제 함수명 불명확);RIP 상대 주소를 이용한 문자열 참조 (string encryption 가능성)",hard,L1L2,2026-05-29 15:12:27
target_hard_L1L2L3,process_input,8,8,2,true,true,"endbr64 (CET 힌트 명령어로 정적 분석 혼란 가능);간접 함수 호출 (심볼 없이 주소 직접 참조로 함수 역할 불명확);불필요한 중간 레지스터 경유 (rax → rdi, eax → esi 등 불필요한 mov 연쇄)",hard,L1L2L3,2026-05-29 15:12:40
target_hard_L1L2L3L4,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어로 분석 혼란 가능);불필요한 레지스터 경유 (rax→rdi, eax→esi 등 간접 이동으로 흐름 추적 복잡화);간접 함수 호출 (실제 함수 이름 대신 오프셋 기반 호출로 기능 식별 어려움)",hard,L1L2L3L4,2026-05-29 15:12:52
target_hard_none,process_input,8,8,2,true,true,"endbr64 (CET 관련 인스트럭션으로 분석 방해 가능);간접 함수 호출을 통한 실제 함수 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0의 실제 기능 불명확);RIP 상대 주소 기반 문자열 참조 (문자열 내용 난독화 가능성)",hard,none,2026-05-29 15:13:06
target_easy_L1,vuln,3,2,1,true,true,junk instruction (nop at 0x004012be);endbr64 (CET 관련이나 불필요한 경우 junk로 활용 가능),easy,L1,2026-05-29 15:13:17
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 junk로 삽입);nop (junk instruction, 0x4012be)",easy,L1L2,2026-05-29 15:13:31
target_easy_L1L2L3,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령, 난독화 목적으로도 삽입 가능);nop (junk instruction, 0x4012be)",easy,L1L2L3,2026-05-29 15:13:41
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 junk로 활용);nop (junk instruction)",easy,L1L2L3L4,2026-05-29 15:13:51
target_easy_none,vuln,3,2,1,true,true,endbr64 (CET 관련 명령어로 분석 방해 가능);nop (junk instruction),easy,none,2026-05-29 15:14:02
target_hard_L1,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령, 경량 제어 흐름 보호 또는 혼동용);간접 함수 호출을 통한 실제 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 외부 함수로 분리)",hard,L1,2026-05-29 15:14:14
target_hard_L1L2,process_input,8,8,2,true,false,,hard,L1L2,2026-05-29 15:14:23
target_hard_L1L2L3,process_input,8,8,2,true,false,,hard,L1L2L3,2026-05-29 15:14:34
target_hard_L1L2L3L4,process_input,8,8,2,true,true,"endbr64 (CET/IBT 관련 명령 삽입, 잠재적 junk instruction 역할);간접 함수 호출을 통한 실제 함수 기능 은폐 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 외부 함수로 로직 분산)",hard,L1L2L3L4,2026-05-29 15:14:46
target_hard_none,process_input,8,8,2,true,true,"endbr64 (CET 인스트럭션, 간접 분기 보호 또는 junk instruction 역할);불필요한 중간 레지스터 경유 (rax→rdi, eax→esi 등 간접 이동으로 흐름 추적 복잡화);opaque predicate 의심 (jns 조건 분기: 길이 함수 반환값이 음수인 경우는 일반적으로 발생하지 않아 항상 참인 분기처럼 동작 가능)",hard,none,2026-05-29 15:15:01
target_easy_L1,vuln,3,2,1,true,true,nop padding (0x4012be의 nop 삽입);endbr64 (CET 관련 인스트럭션으로 분석 방해 가능),easy,L1,2026-05-29 15:15:11
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET 관련 인스트럭션, 간접적 난독화 효과);nop (junk instruction)",easy,L1L2,2026-05-29 15:15:20
target_easy_L1L2L3,vuln,3,2,1,true,true,"endbr64 (CET 인디렉트 브랜치 추적, 일부 환경에서 난독화 목적 혼용);nop (junk instruction, 0x4012be)",easy,L1L2L3,2026-05-29 15:15:30
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 분석 방해 가능);nop (junk instruction, 코드 패딩)",easy,L1L2L3L4,2026-05-29 15:15:40
target_easy_none,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 환경에서 분석 방해);nop (junk instruction, 코드 흐름 분석 방해 목적 가능성)",easy,none,2026-05-29 15:15:52
target_hard_L1,process_input,8,8,2,true,true,"endbr64 (CET/IBT 마커, 분석 방해 가능);불필요하게 큰 스택 프레임 할당 (sub rsp, 0x60으로 실제 사용보다 큰 공간 확보);간접 함수 호출을 통한 실제 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 외부 함수로 분산)",hard,L1,2026-05-29 15:16:07
target_hard_L1L2,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어로 분석 도구 혼란 유발 가능);불필요한 중간 레지스터 경유(rax→rdi, rcx→rsi 등 간접 이동으로 흐름 추적 난해화)",hard,L1L2,2026-05-29 15:16:21
target_hard_L1L2L3,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구가 삽입);불필요하게 큰 스택 프레임 할당 (sub rsp, 0x60 대비 실제 사용 공간 불일치);간접 함수 호출을 통한 실제 함수 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 심볼 미노출)",hard,L1L2L3,2026-05-29 15:16:35
target_hard_L1L2L3L4,process_input,8,8,2,true,false,,hard,L1L2L3L4,2026-05-29 15:16:45
target_hard_none,process_input,8,8,2,true,true,"endbr64 (CET 관련 but 분석 방해 가능);간접 함수 호출 구조 (직접 함수명 없이 오프셋 호출로 역할 불명확);불필요한 중간 레지스터 경유 (rax->rdi, eax->esi 등 불필요한 mov 체인)",hard,none,2026-05-29 15:17:05
target_easy_L1,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 삽입);nop (junk instruction, 0x004012be)",easy,L1,2026-05-29 15:17:15
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 경미한 분석 방해);nop (junk instruction, 0x004012be)",easy,L1L2,2026-05-29 15:17:27
target_easy_L1L2L3,vuln,3,2,1,true,true,"endbr64 (CET 관련 인스트럭션, 일부 난독화 도구가 삽입);nop (junk instruction, 0x4012be)",easy,L1L2L3,2026-05-29 15:17:38
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 환경에서 junk instruction으로 활용);nop (junk instruction, 함수 말미 불필요한 nop 삽입)",easy,L1L2L3L4,2026-05-29 15:17:47
target_easy_none,vuln,3,2,1,true,true,"junk instruction (endbr64 단독 사용, nop 삽입)",easy,none,2026-05-29 15:17:57
target_hard_L1,process_input,8,8,2,true,false,,hard,L1,2026-05-29 15:18:10
target_hard_L1L2,process_input,8,8,2,true,true,"endbr64 (CET 관련 인스트럭션, 분석 방해 가능);간접 함수 호출을 통한 실제 함수 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 실제 심볼 미노출);RIP 상대 주소를 통한 문자열 참조 (string encryption 가능성)",hard,L1L2,2026-05-29 15:18:24
target_hard_L1L2L3,process_input,8,8,2,true,false,,hard,L1L2L3,2026-05-29 15:18:36
target_hard_L1L2L3L4,process_input,8,8,2,true,false,,hard,L1L2L3L4,2026-05-29 15:18:46
target_hard_none,process_input,8,8,2,true,true,"endbr64 (CET 관련 인스트럭션, 일부 환경에서 junk instruction으로 활용);간접 함수 호출을 통한 실제 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 심볼 없이 주소만 사용);RIP 상대 주소 참조를 통한 문자열 은닉 (lea rax, [rip + offset])",hard,none,2026-05-29 15:19:02
target_easy_L1,vuln,3,2,1,true,true,"endbr64 (CET 힌트 명령어, 경미한 분석 방해);nop (junk instruction, 코드 패딩)",easy,L1,2026-05-29 15:19:13
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구가 junk로 삽입);nop (junk instruction, 0x4012be)",easy,L1L2,2026-05-29 15:19:22
target_easy_L1L2L3,vuln,3,2,1,true,true,endbr64 (CET 관련 junk/protection 명령);nop (junk instruction),easy,L1L2L3,2026-05-29 15:20:51
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"junk instruction (endbr64 단독 사용, nop 삽입)",easy,L1L2L3L4,2026-05-29 15:21:01
target_easy_none,vuln,3,2,1,true,true,endbr64 (CET 관련 명령어로 경미한 분석 방해 가능);nop (junk instruction),easy,none,2026-05-29 15:21:12
target_hard_L1,process_input,8,8,2,true,false,,hard,L1,2026-05-29 15:21:24
target_hard_L1L2,process_input,8,8,2,true,true,endbr64 (CET 관련 명령어로 분석 방해 가능);불필요한 중간 레지스터 경유 (rax를 거쳐 rdi에 전달하는 패턴 반복);jmp를 이용한 단순 제어 흐름 우회 (opaque predicate 유사 패턴),hard,L1L2,2026-05-29 15:21:38
target_hard_L1L2L3,process_input,8,8,2,true,true,"endbr64 (CET 관련이나 난독화 패딩으로 사용 가능);간접 함수 호출을 통한 제어 흐름 분산 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 외부 함수로 실제 로직 은닉);RIP-relative 문자열 참조로 문자열 내용 직접 확인 불가",hard,L1L2L3,2026-05-29 15:21:50
target_hard_L1L2L3L4,process_input,8,8,2,true,true,"endbr64 (CET 관련 인스트럭션으로 분석 혼란 가능);간접 함수 호출을 통한 실제 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 간접 참조);RIP 상대 주소를 이용한 문자열 참조 (lea rax, [rip + offset])",hard,L1L2L3L4,2026-05-29 15:22:03
target_hard_none,process_input,8,8,2,true,false,,hard,none,2026-05-29 15:22:16
target_easy_L1,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령, 일부 난독화 도구에서 junk로 삽입);nop (junk instruction, 0x004012be)",easy,L1,2026-05-29 15:22:26
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 환경에서 노이즈로 사용);nop (junk instruction, 0x4012be)",easy,L1L2,2026-05-29 15:22:41
target_easy_L1L2L3,vuln,3,2,1,true,true,endbr64 (CET/IBT 관련 명령어 삽입);nop (junk instruction),easy,L1L2L3,2026-05-29 15:22:54
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 junk로 삽입);nop (0x004012be, 불필요한 NOP 삽입으로 분석 방해)",easy,L1L2L3L4,2026-05-29 15:23:05
target_easy_none,vuln,3,2,1,true,true,"endbr64 (CET 관련 인스트럭션, 분석 방해 요소로 활용 가능);nop (junk instruction, 0x004012be)",easy,none,2026-05-29 15:23:15
target_hard_L1,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어로 흐름 분석 방해);간접 호출 구조를 통한 실제 함수 기능 은닉;로컬 변수 스택 할당 크기 과다 (0x60 할당, 실제 사용은 일부)",hard,L1,2026-05-29 15:23:28
target_hard_L1L2,process_input,8,8,2,true,true,"endbr64 (CET 관련 인스트럭션, 일부 난독화 도구에서 삽입);간접 함수 호출을 통한 실제 함수 은닉(0x401220, 0x401280, 0x4011c0, 0x4012c0);RIP 상대 주소 방식의 문자열 참조(string encryption 또는 숨김 가능성)",hard,L1L2,2026-05-29 15:23:42
target_hard_L1L2L3,process_input,8,8,2,true,true,endbr64 (CET 관련 명령어로 분석 방해 가능);불필요한 중간 레지스터 경유 이동 (junk register moves);간접적인 문자열 참조 (RIP-relative LEA로 문자열 주소 난독화),hard,L1L2L3,2026-05-29 15:23:55
target_hard_L1L2L3L4,process_input,8,8,2,true,true,"endbr64 (CET 관련이나 난독화 맥락에서 삽입);간접 함수 호출(직접 함수명 없이 오프셋 기반 call 사용으로 심볼 은닉);불필요하게 큰 스택 프레임 할당(sub rsp, 0x60으로 실제 사용보다 과도한 공간 확보)",hard,L1L2L3L4,2026-05-29 15:24:07
target_hard_none,process_input,8,8,2,true,false,,hard,none,2026-05-29 15:24:17
